id,tag
31,sherlocknet:tag=arab
31,sherlocknet:tag=nation
31,sherlocknet:tag=quell
31,sherlocknet:tag=travel
31,sherlocknet:tag=john
31,sherlocknet:tag=public
31,sherlocknet:tag=posit
31,sherlocknet:tag=right
31,sherlocknet:tag=force
31,sherlocknet:tag=father
31,sherlocknet:tag=house
31,sherlocknet:tag=port
31,sherlocknet:tag=one
31,sherlocknet:tag=sans
31,sherlocknet:tag=premier
31,sherlocknet:category=organism
31,wow
32,bldigital
32,date1864
32,pubplacemadrid
32,publicdomain
32,sysnum003820870
32,large
32,vol02
32,page21
32,mechanicalcurator
32,imagesfrombook003820870
32,imagesfromvolume00382087002
32,sherlocknet:tag=country
32,sherlocknet:tag=hand
32,sherlocknet:tag=author
32,sherlocknet:tag=certain
32,sherlocknet:tag=whole
32,sherlocknet:tag=character
32,sherlocknet:tag=london
32,sherlocknet:tag=side
32,sherlocknet:tag=earl
32,sherlocknet:tag=upper
32,sherlocknet:tag=universe
32,sherlocknet:tag=ring
32,sherlocknet:tag=friend
32,sherlocknet:tag=gen
32,sherlocknet:tag=poor
32,sherlocknet:category=organism
32,wow
33,bldigital
33,date1898
33,pubplacemilano
33,publicdomain
33,sysnum002383118
33,marinelligiovanniprofessorofgeographyatpadua
33,medium
33,vol08
33,page797
33,italian
33,maori
33,girl
33,woman
33,native
33,tattoo
33,tattood
33,sherlocknet:tag=street
33,sherlocknet:tag=friend
33,sherlocknet:tag=house
33,sherlocknet:tag=store
33,sherlocknet:tag=build
33,sherlocknet:tag=bell
33,sherlocknet:tag=land
33,sherlocknet:tag=york
33,sherlocknet:tag=state
33,sherlocknet:tag=gift
33,sherlocknet:tag=pine
33,sherlocknet:tag=year
33,sherlocknet:tag=city
33,sherlocknet:tag=general
33,sherlocknet:tag=poor
33,sherlocknet:category=organism
33,wow
34,bldigital
34,date1894
34,pubplacelondon
34,publicdomain
34,sysnum002531607
34,montbardgeorges
34,medium
34,vol0
34,page363
34,mechanicalcurator
34,imagesfrombook002531607
34,imagesfromvolume0025316070
34,sherlocknet:tag=france
34,sherlocknet:tag=general
34,sherlocknet:tag=land
34,sherlocknet:tag=fair
34,sherlocknet:tag=nation
34,sherlocknet:tag=england
34,sherlocknet:tag=populate
34,sherlocknet:tag=point
34,sherlocknet:tag=force
34,sherlocknet:tag=place
34,sherlocknet:tag=wood
34,sherlocknet:tag=grand
34,sherlocknet:tag=race
34,sherlocknet:tag=english
